reviews,sentiments,ratings
"5Very comfortable and good material...Buy for my husband and he likes it very much.,.","Very comfortable and good material...Buy for my husband and he likes it very much.,.",5
5good product in this price ..,good product in this price ..,5
5Love it 😍,Love it 😍,5
5Excellent material .Perfect fittings.,Excellent material .Perfect fittings.,5
"5Great quality
Worth product
Must buy","Great quality
Worth product
Must buy",5
5Exilent,Exilent,5
5Supb,Supb,5
5Worth for Money.,Worth for Money.,5
5Nice superb ❤️💯,Nice superb ❤️💯,5
5Good quality clothe is thin but comfortable and it's sporty material with zip pocket,Good quality clothe is thin but comfortable and it's sporty material with zip pocket,5
5Veri nice good,Veri nice good,5
"5Fabulous
Comfortable","Fabulous
Comfortable",5
5Very nice product 👍,Very nice product 👍,5
5Best one. Thanks to the entire team of FLIPKART and the Vendor.,Best one. Thanks to the entire team of FLIPKART and the Vendor.,5
"5This product is very good and
Very comfert
I bought this prodect
I am very happy
Very good prodect

Thanks ❤","This product is very good and
Very comfert
I bought this prodect
I am very happy
Very good prodect

Thanks ❤",5
"5Superb product , so much comfortable to wear 😊","Superb product , so much comfortable to wear 😊",5
5Very good 😊 product very so nice 👍 thank you filpkart I am happy 😁😊,Very good 😊 product very so nice 👍 thank you filpkart I am happy 😁😊,5
2Poor colity,Poor colity,2
2Very very bad quality of cloth. I say to everyone please do not purchase this item.Purchasing this item means loss of your valuable time .,Very very bad quality of cloth. I say to everyone please do not purchase this item.Purchasing this item means loss of your valuable time .,2
4Nice quality with perfect fit,Nice quality with perfect fit,4
4This T Shirt is good,This T Shirt is good,4
1very bad quality,very bad quality,1
3Just quality,Just quality,3
"5Nice product,👍👍👍👍","Nice product,👍👍👍👍",5
1Product is not 🚫 good,Product is not 🚫 good,1
3Average amount of money,Average amount of money,3
5Nice 👍.,Nice 👍.,5
1Not as expectations...,Not as expectations...,1
5So beautiful,So beautiful,5
5GOOD,GOOD,5
1Poor quality of clothes,Poor quality of clothes,1
5Awesome 👌,Awesome 👌,5
5Best product to wear under helmet,Best product to wear under helmet,5
5Awesome for hair,Awesome for hair,5
5Product is good but a bit priced,Product is good but a bit priced,5
1One of the worst one . There is no use to wear this,One of the worst one . There is no use to wear this,1
4Good for helmets user,Good for helmets user,4
1Poor material. No quality at all. Worst buy,Poor material. No quality at all. Worst buy,1
"2Product doesn't match the image, Thin material, poor quality","Product doesn't match the image, Thin material, poor quality",2
1Quality is not ok,Quality is not ok,1
5Better than jockey premium range,Better than jockey premium range,5
5Good Quality profit fitting 👍,Good Quality profit fitting 👍,5
"2Brand is claiming to be premium in terms of comfort and zero fade in color even after months of use but mine faded in just few weeks, i would rather pay jockey international collection than paying this so called premium brand.","Brand is claiming to be premium in terms of comfort and zero fade in color even after months of use but mine faded in just few weeks, i would rather pay jockey international collection than paying this so called premium brand.",2
4Fabric quality is nice.fitting also proper.both color is good.overall nice innerwear.,Fabric quality is nice.fitting also proper.both color is good.overall nice innerwear.,4
3Size issue,Size issue,3
3Very bed product west many,Very bed product west many,3
5Best product soft feel good 🙂,Best product soft feel good 🙂,5
"5Very good quality but price also too much high
I like the product","Very good quality but price also too much high
I like the product",5
5Very good fabric and timely delivery,Very good fabric and timely delivery,5
5Most comfortable underwear I have used till the time. Highly recommended,Most comfortable underwear I have used till the time. Highly recommended,5
"5Very good quality, Its best for summertime

But price so high","Very good quality, Its best for summertime

But price so high",5
5Comfortable and perfect fit.,Comfortable and perfect fit.,5
5It is good and comfortable,It is good and comfortable,5
5Fabulous product nice fitting premium looks 😀😀,Fabulous product nice fitting premium looks 😀😀,5
5Very good quality👍,Very good quality👍,5
"5Great Softness with Irritation free Fabric,
But price is Slightly Upside!","Great Softness with Irritation free Fabric,
But price is Slightly Upside!",5
5Very nice comfortable,Very nice comfortable,5
3Kind of ok but if you want a smoother model underwear go for XYXX. If you are color conscious take Damensch. Awesome colours.,Kind of ok but if you want a smoother model underwear go for XYXX. If you are color conscious take Damensch. Awesome colours.,3
4Shoft ant comfortable axilent,Shoft ant comfortable axilent,4
"5Perfect size,soft and comfort.","Perfect size,soft and comfort.",5
1Bad quality in one wash stitch coming out,Bad quality in one wash stitch coming out,1
"1Worst quality of materials used , in one wash its looks like , 6 months old , this was mine 2nd time buy , but now the quality wise its useless and not worthy","Worst quality of materials used , in one wash its looks like , 6 months old , this was mine 2nd time buy , but now the quality wise its useless and not worthy",1
5Very hot and sexy,Very hot and sexy,5
"5Very good quality 👍🏻
Nice products","Very good quality 👍🏻
Nice products",5
5Good fabric and better quality,Good fabric and better quality,5
5Perfect colour and quality as I am already a user of the brand.,Perfect colour and quality as I am already a user of the brand.,5
3Stitching not good,Stitching not good,3
5Great product must buy,Great product must buy,5
4Nice cloth,Nice cloth,4
"5Very very comfortable,must buy amazing product","Very very comfortable,must buy amazing product",5
"5Nice one , Comfort feel","Nice one , Comfort feel",5
5Good product. Comfortable to use.,Good product. Comfortable to use.,5
5Very nice Damensch❤️👍👍,Very nice Damensch❤️👍👍,5
5Nice very soft,Nice very soft,5
2Febrif not good,Febrif not good,2
5Regular user of this brand. Perfect quality and comfort,Regular user of this brand. Perfect quality and comfort,5
13rd classs product west of Mony,3rd classs product west of Mony,1
1Totally waste of mo,Totally waste of mo,1
3Nice Feet,Nice Feet,3
4Feeling comfort,Feeling comfort,4
"5It is far better than Jockey or any other brand.
Just buy once. I promise you won't regret.","It is far better than Jockey or any other brand.
Just buy once. I promise you won't regret.",5
4very nice,very nice,4
4It's nice go for it 🙂,It's nice go for it 🙂,4
5Everything is comfortable for me.,Everything is comfortable for me.,5
"5Very soft 100% right product
Size up down","Very soft 100% right product
Size up down",5
5Very Good,Very Good,5
"5Very good product, i am satisfied","Very good product, i am satisfied",5
"5Nice Fabric, comfortable inners and sexy looking guys. masculine perfect fitting","Nice Fabric, comfortable inners and sexy looking guys. masculine perfect fitting",5
1Flip kart no quality products every thing I purchased after one month all things get wasted,Flip kart no quality products every thing I purchased after one month all things get wasted,1
"3Fabric Quality is poor.
After 4 washes the fabric is faded and also seen fabric being sagged","Fabric Quality is poor.
After 4 washes the fabric is faded and also seen fabric being sagged",3
"5This is my 4th brief and I am very happy with its quality. Very soft, very comfortable and awesome colors. Excellent.","This is my 4th brief and I am very happy with its quality. Very soft, very comfortable and awesome colors. Excellent.",5
5Product is as per expectation.Very Comfortable and nice fitting.,Product is as per expectation.Very Comfortable and nice fitting.,5
5Nice fitting feeling good 😁,Nice fitting feeling good 😁,5
4Super.... So Soft...👌👌,Super.... So Soft...👌👌,4
5Best product h,Best product h,5
2Damage after first wash,Damage after first wash,2
5Gorgeous,Gorgeous,5
5Nic product,Nic product,5
1Not a value of money don't buy this product,Not a value of money don't buy this product,1
"4Fabric quality Good,","Fabric quality Good,",4
2Elastic poor griping,Elastic poor griping,2
5Very soft and comfortable,Very soft and comfortable,5
3It was ok,It was ok,3
5Good quality and soft,Good quality and soft,5
5Good quality👍,Good quality👍,5
5Love it.....very soft and comfortable...must buy.... thanks demench,Love it.....very soft and comfortable...must buy.... thanks demench,5
5Must buy...nice fabric very soft ..I love it... thanks demench,Must buy...nice fabric very soft ..I love it... thanks demench,5
"5Valuable product by Damnesh..
Highly recommended..","Valuable product by Damnesh..
Highly recommended..",5
1Don't buy very poor quality,Don't buy very poor quality,1
"5supar, shandar, comfort","supar, shandar, comfort",5
5Owesom,Owesom,5
5Excellent ! It's fitting and quality is superb 👌,Excellent ! It's fitting and quality is superb 👌,5
4Looks great and i really liked it..,Looks great and i really liked it..,4
4This Casual shirt is really Fav and Beautiful this price range !! I recommend this product to all Men,This Casual shirt is really Fav and Beautiful this price range !! I recommend this product to all Men,4
5Good nice I like this very much,Good nice I like this very much,5
5Absolutely Great shirt.... Go for it,Absolutely Great shirt.... Go for it,5
5Masterpiece ❤❤,Masterpiece ❤❤,5
5Shirt fabric is really awsm. Fitting,Shirt fabric is really awsm. Fitting,5
5Shape and fir is awesome ...Loved it,Shape and fir is awesome ...Loved it,5
5Amazing 😘😘😍 I like this shart good product,Amazing 😘😘😍 I like this shart good product,5
4Superb quality 👍,Superb quality 👍,4
4Good quality 👍,Good quality 👍,4
5Fitting good design best and mast,Fitting good design best and mast,5
5Awesome must try it once,Awesome must try it once,5
"4Product is good 👍not stretchable at all. Under 400
Then go for it","Product is good 👍not stretchable at all. Under 400
Then go for it",4
"5Excellent product
Its adorable
As expected","Excellent product
Its adorable
As expected",5
5Nice Product.....Love it❤️❤️,Nice Product.....Love it❤️❤️,5
5Very nice I love it,Very nice I love it,5
4Nice product And Nice Fiting....👌👌,Nice product And Nice Fiting....👌👌,4
5Worth it 🤍,Worth it 🤍,5
5Good Quality and comfortable,Good Quality and comfortable,5
5Value for money..,Value for money..,5
5Excellent fabric love the colour and fitting material is quite nice as per price love the shirt great work by manufacturer....🔥,Excellent fabric love the colour and fitting material is quite nice as per price love the shirt great work by manufacturer....🔥,5
"5This shirt is very comfortable
And fitting very nice
Quality- nice
Size - perfect
Thanks dear for this product","This shirt is very comfortable
And fitting very nice
Quality- nice
Size - perfect
Thanks dear for this product",5
4Quality is great,Quality is great,4
"5Nice product , u can buy","Nice product , u can buy",5
5Awesome 👏,Awesome 👏,5
"5Fully satisfied, Thank you Flipkart,","Fully satisfied, Thank you Flipkart,",5
5Super quality pure cotton.,Super quality pure cotton.,5
"4Very good produced , very nice good colors","Very good produced , very nice good colors",4
5Super 👌👌👌👌,Super 👌👌👌👌,5
4Fabric is good,Fabric is good,4
4Nice product 😊 worth it 👍,Nice product 😊 worth it 👍,4
"5Well fitting (M)
Fabric quality good
Tip: wash it before you wear
Plus point: No colour drainage (so far)","Well fitting (M)
Fabric quality good
Tip: wash it before you wear
Plus point: No colour drainage (so far)",5
5good price good quality,good price good quality,5
5Nicee,Nicee,5
5Nice Shirt 🥰🥰🥰,Nice Shirt 🥰🥰🥰,5
5This shirt is very good and it's cloth I am happy 😊,This shirt is very good and it's cloth I am happy 😊,5
3Nice fabric,Nice fabric,3
5Nice sem product thanks filkart👌,Nice sem product thanks filkart👌,5
5Solid shirt 👕✌️🔥🙏❤️,Solid shirt 👕✌️🔥🙏❤️,5
"5Best Quality Product.
Awesome(mst)😊👍","Best Quality Product.
Awesome(mst)😊👍",5
4Quality is good in this price. Even the colour is perfect. You can go for it,Quality is good in this price. Even the colour is perfect. You can go for it,4
5Nice 😊😊,Nice 😊😊,5
"5I gifted it to my husband he liked it very much.

Good quality and fit","I gifted it to my husband he liked it very much.

Good quality and fit",5
5Nice very nice,Nice very nice,5
5Awesome 👕,Awesome 👕,5
4Super ❤️,Super ❤️,4
5Nice Quality Love it ❤️❤️,Nice Quality Love it ❤️❤️,5
5Good 👍 clath,Good 👍 clath,5
5Great quality with perfect Fitting 🙌😄,Great quality with perfect Fitting 🙌😄,5
5Nice 👌,Nice 👌,5
3It's looking good but quality are not satisfied me,It's looking good but quality are not satisfied me,3
5Good 👍 product I can feel it better,Good 👍 product I can feel it better,5
4Satisfied 😊,Satisfied 😊,4
5Verry nice shirt 👔 thanks for flipcard,Verry nice shirt 👔 thanks for flipcard,5
"3Just ok type
Cloth material is ok type at this rate
Fitting is good for me as I bought M size.
Stitching is not good specially the bottom part of shirt is not properly stitched.
Torn threads can be easily seen which you have to fix it before you wear

I have bought vebnor shirt earlier also but this one is not good like the previous one.","Just ok type
Cloth material is ok type at this rate
Fitting is good for me as I bought M size.
Stitching is not good specially the bottom part of shirt is not properly stitched.
Torn threads can be easily seen which you have to fix it before you wear

I have bought vebnor shirt earlier also but this one is not good like the previous one.",3
5Very nice and good product .. product is exactly the same as shown in the picture .. fabric quality is superb.,Very nice and good product .. product is exactly the same as shown in the picture .. fabric quality is superb.,5
5Masterpiece,Masterpiece,5
5Best quality product in minnium price,Best quality product in minnium price,5
5Best quality that i expected suggest to all try a time,Best quality that i expected suggest to all try a time,5
5Very nice shirt and clothing,Very nice shirt and clothing,5
4Really awesome... just go for it,Really awesome... just go for it,4
4Good product in this price range. Specially the fabric quality is good. Overall go for it.,Good product in this price range. Specially the fabric quality is good. Overall go for it.,4
4Very nice Shirt 🤘,Very nice Shirt 🤘,4
"5Nice shirt and good looking
I'm so happy thanks flip kart","Nice shirt and good looking
I'm so happy thanks flip kart",5
3Nyc product.,Nyc product.,3
5Nyc shirt in this range thank u,Nyc shirt in this range thank u,5
5Quality is super....very nice product I am so happy flipcard for this parcel.....,Quality is super....very nice product I am so happy flipcard for this parcel.....,5
5Okay!,Okay!,5
3Nice product but product color is different,Nice product but product color is different,3
5Amazing and beautiful,Amazing and beautiful,5
"5Comfortable shirt, Paisa wasul shirt❤️❤️❤️","Comfortable shirt, Paisa wasul shirt❤️❤️❤️",5
5Excellent 👍👍 very nice looking shirt,Excellent 👍👍 very nice looking shirt,5
4Nice shirt with comfort cloth 😉,Nice shirt with comfort cloth 😉,4
5Very nice Quality,Very nice Quality,5
5Vry good quality,Vry good quality,5
5Perfect product. best quality.nice fitting.worth for money. happy to see this product.best raincoat.,Perfect product. best quality.nice fitting.worth for money. happy to see this product.best raincoat.,5
"5Excellent product at excellent price am from Odisha
My height 5 feet 8 inch am happy XL size","Excellent product at excellent price am from Odisha
My height 5 feet 8 inch am happy XL size",5
3For heavy rains it's not support,For heavy rains it's not support,3
5Good quality raincoat,Good quality raincoat,5
5Supar,Supar,5
4Average good,Average good,4
4Price should be in between 600to700 but it is is good,Price should be in between 600to700 but it is is good,4
"5Lol, Go for it,
Quality is very good 👌","Lol, Go for it,
Quality is very good 👌",5
"5Nise product
Awesome 💥👍","Nise product
Awesome 💥👍",5
3Not stop water in heavy rain,Not stop water in heavy rain,3
5Very nice 👌👌,Very nice 👌👌,5
4Good product. Flipkart delivery is good.,Good product. Flipkart delivery is good.,4
4Quality of Raincoat is Good but packaging is not good . XL size may be short for 28/29 years old person. I'll post after heavy raining later. But good Raincoat at such reasonable price,Quality of Raincoat is Good but packaging is not good . XL size may be short for 28/29 years old person. I'll post after heavy raining later. But good Raincoat at such reasonable price,4
"4Must buy raincoat .Got blue color for 780 .The raincoat material will not at all dissapoint you .
I would recommend you to buy one size larger for example if u wear xl size then take xxl as size issue is there it becomes tight rest all is ok. Its branded clounfish at chest and best thing is that its reversible.
On first impression its really good product but seriously size may be the problem so buys one size large.","Must buy raincoat .Got blue color for 780 .The raincoat material will not at all dissapoint you .
I would recommend you to buy one size larger for example if u wear xl size then take xxl as size issue is there it becomes tight rest all is ok. Its branded clounfish at chest and best thing is that its reversible.
On first impression its really good product but seriously size may be the problem so buys one size large.",4
4Best rain cot but no side poket,Best rain cot but no side poket,4
4Well and as expected from Flipkart... 👍,Well and as expected from Flipkart... 👍,4
5Nice and humble delivery man and the product is too awesome,Nice and humble delivery man and the product is too awesome,5
"1Dear Mr. Dinesh Karthik
Please disassociate from the promotion for this company. This product is absolutely useless. Even if you use this, you are going to get drenched in water. Anyone looking at this review, please do not opt for this product.","Dear Mr. Dinesh Karthik
Please disassociate from the promotion for this company. This product is absolutely useless. Even if you use this, you are going to get drenched in water. Anyone looking at this review, please do not opt for this product.",1
"4Product size is good.
Comfortable, but in case heavy rain water come inside from front chain.","Product size is good.
Comfortable, but in case heavy rain water come inside from front chain.",4
"5Well worth for money height 174 cm xxl is preferred
Double layer looks costly","Well worth for money height 174 cm xxl is preferred
Double layer looks costly",5
4Nce product,Nce product,4
"2Only 80% prevent the rain to wet the body.
After wearing in rain ,droplets found in innerside of rain coat...
Not much satisfactory result","Only 80% prevent the rain to wet the body.
After wearing in rain ,droplets found in innerside of rain coat...
Not much satisfactory result",2
5Material is good 👍 thank you🙏 filp cart,Material is good 👍 thank you🙏 filp cart,5
"1Not good quality , water comes inside in rain","Not good quality , water comes inside in rain",1
1Within 1 week cut all sides. Very worst quality,Within 1 week cut all sides. Very worst quality,1
1The quality of the item is good but the bag to keep rain wear as mentioned in the picture was not included that's the reason why I'm marking 1.,The quality of the item is good but the bag to keep rain wear as mentioned in the picture was not included that's the reason why I'm marking 1.,1
1Water leakage in front through zip,Water leakage in front through zip,1
"5Nice product,value of money,truly water proofed,","Nice product,value of money,truly water proofed,",5
5Good quality as expected,Good quality as expected,5
"3Normal but best quality, low price","Normal but best quality, low price",3
"1It leaking water through the zip. Bought it with a big hope. Now what can I do. Wastage of money.
Wasted money","It leaking water through the zip. Bought it with a big hope. Now what can I do. Wastage of money.
Wasted money",1
5Quality was very good 👌🏼👌🏼,Quality was very good 👌🏼👌🏼,5
1Waste products,Waste products,1
5Nice product Thanks Flipkart,Nice product Thanks Flipkart,5
2Not fit to size,Not fit to size,2
4Nice one good 👍 product,Nice one good 👍 product,4
2Quality of the product is not up to the mark,Quality of the product is not up to the mark,2
5Good product really awesome,Good product really awesome,5
5Good prodact,Good prodact,5
"5Super
Quality is best","Super
Quality is best",5
5Very good material..,Very good material..,5
5Very good quality product and also value for money 💰..,Very good quality product and also value for money 💰..,5
"4Good,","Good,",4
5Very nice product and very nice quality 👍,Very nice product and very nice quality 👍,5
5Excellent product at this price point . 👍👍,Excellent product at this price point . 👍👍,5
2Not comfortable to wear.,Not comfortable to wear.,2
1The material is very bad. Please don't buy.,The material is very bad. Please don't buy.,1
2Ok,Ok,2
4It's a good product for this price range,It's a good product for this price range,4
5Good quality 👍🏻 but we need more good lower,Good quality 👍🏻 but we need more good lower,5
"4It's good, but xxl is actually xl , kindly order one plus size","It's good, but xxl is actually xl , kindly order one plus size",4
5Very good product at this cost,Very good product at this cost,5
1Too Bad Product.,Too Bad Product.,1
1Waste of time and money,Waste of time and money,1
2Not so good,Not so good,2
1Water leaking,Water leaking,1
3Good product for this price range,Good product for this price range,3
3It is okay not good and not bad.,It is okay not good and not bad.,3
5Osm tishart nice product,Osm tishart nice product,5
4Mind blowing qwality,Mind blowing qwality,4
3Bad quality not cotton loss of this price.this product is lilon,Bad quality not cotton loss of this price.this product is lilon,3
"5Very very good product 🥰
Thank u filpcart....","Very very good product 🥰
Thank u filpcart....",5
5Very nice 🤗,Very nice 🤗,5
"4Good ,","Good ,",4
4Product is vary good as its price range.,Product is vary good as its price range.,4
5Nice product... Fabric quality is so good...feel comfortable after wearing...,Nice product... Fabric quality is so good...feel comfortable after wearing...,5
5Super super quality,Super super quality,5
5Fit and comfortable good cloth quality sach a Beautiful 🤩 product. thank you Flipkart ❤️.,Fit and comfortable good cloth quality sach a Beautiful 🤩 product. thank you Flipkart ❤️.,5
5Osm....,Osm....,5
4Best quality t shirt,Best quality t shirt,4
5Supper 😋,Supper 😋,5
1Fabric is neither good nor worst...,Fabric is neither good nor worst...,1
"3Cloth is ok in this price..... Don't expect more than it's worth.

But the combination, colors, pattern is the best apart from the cloth.

If you are planing to wear for 5 times then GO FOR IT.

Not a longtime buddy.","Cloth is ok in this price..... Don't expect more than it's worth.

But the combination, colors, pattern is the best apart from the cloth.

If you are planing to wear for 5 times then GO FOR IT.

Not a longtime buddy.",3
2Not valuable 👎,Not valuable 👎,2
4Thanks to flipkart value for money,Thanks to flipkart value for money,4
4Thanks to flipkart valuefor money,Thanks to flipkart valuefor money,4
"1Very bad qawality.
I don't like.","Very bad qawality.
I don't like.",1
"4Fitting very well.. looks good
But
Fabric quality average.","Fitting very well.. looks good
But
Fabric quality average.",4
4Iam so happy 😊😊😊😊😊😊😊,Iam so happy 😊😊😊😊😊😊😊,4
4Very good 😊,Very good 😊,4
5Very nice cloth,Very nice cloth,5
4Good fabric awesome deal in this price,Good fabric awesome deal in this price,4
5Amazing 💖💖💖,Amazing 💖💖💖,5
4Very good 👕,Very good 👕,4
4Nice 👍👍,Nice 👍👍,4
5Really amazing 😍 😍🤩🤩😍😍,Really amazing 😍 😍🤩🤩😍😍,5
5Comfarteble,Comfarteble,5
5It is very good product..,It is very good product..,5
3Amaging,Amaging,3
5Very good t shirt 🥰❤️,Very good t shirt 🥰❤️,5
4This cloth is comfortable and well look,This cloth is comfortable and well look,4
5Very good Product,Very good Product,5
5Good good good good,Good good good good,5
1Waste of money. Fabric is too bad😞. Its upto you buy it or not 🚫.,Waste of money. Fabric is too bad😞. Its upto you buy it or not 🚫.,1
2nice bt it is not cotton.,nice bt it is not cotton.,2
5Very nice t-shirt👍,Very nice t-shirt👍,5
3Nice product 🤗👍,Nice product 🤗👍,3
4Nice T shirt,Nice T shirt,4
5Amazing product🥰🥰🥰🥰🥰,Amazing product🥰🥰🥰🥰🥰,5
5Nice product 👌,Nice product 👌,5
5Nice producd,Nice producd,5
5More than expected @ this price range of this kind of quality...sprb one,More than expected @ this price range of this kind of quality...sprb one,5
4Satisfied.,Satisfied.,4
"5It's good quality of product, thank you Flipkart","It's good quality of product, thank you Flipkart",5
1Not comfortable with this size,Not comfortable with this size,1
5Very beautiful tshirt,Very beautiful tshirt,5
1Fabric is not g,Fabric is not g,1
5Nice t-shirt and nice color,Nice t-shirt and nice color,5
2Bad quality of cloth only polyester not cotton as others polo tshirts have. Fitting is not comfortable near chest. Recomend not to buy.,Bad quality of cloth only polyester not cotton as others polo tshirts have. Fitting is not comfortable near chest. Recomend not to buy.,2
5Perfect fit.,Perfect fit.,5
5Very good product good quality. Satisfying. 👍👍👍,Very good product good quality. Satisfying. 👍👍👍,5
1Very very bad,Very very bad,1
5Very good 🥰,Very good 🥰,5
5According money quality is good.,According money quality is good.,5
2Nothing special,Nothing special,2
5Amazing 😍🤩 Shirt,Amazing 😍🤩 Shirt,5
5Nice quality at great price....,Nice quality at great price....,5
"5Worth it's price Rs. 499 for 3 shorts. Good quality fabric, stitching.","Worth it's price Rs. 499 for 3 shorts. Good quality fabric, stitching.",5
5Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Super Super Super Super Super Super Super Super Super Super Super Super Super Super Super ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,5
"5Guys, Close your Eyes And Go for It, Super quality","Guys, Close your Eyes And Go for It, Super quality",5
"4Very nice and comfortable sports shorts....
It's not cotton it's mixed as described...
Love the colour fittings...
Value for money...","Very nice and comfortable sports shorts....
It's not cotton it's mixed as described...
Love the colour fittings...
Value for money...",4
"3Its silk type of cloth, very thin material but stiching is good...

Average one","Its silk type of cloth, very thin material but stiching is good...

Average one",3
5value for money product,value for money product,5
4Pant is comfortable for any season and daily wear,Pant is comfortable for any season and daily wear,4
4Good colours and cloth,Good colours and cloth,4
3It's strap is very pinching my hip.,It's strap is very pinching my hip.,3
"2Synthetic material, not cotton or mixed.","Synthetic material, not cotton or mixed.",2
4Very good 👍👍😊😊,Very good 👍👍😊😊,4
3Streching is not perfect,Streching is not perfect,3
3Very nice👍,Very nice👍,3
4Good quality 👌🏻,Good quality 👌🏻,4
1Quality issue,Quality issue,1
"4Quality n fabric r good, stitching is not that great.after all good at this price.👍","Quality n fabric r good, stitching is not that great.after all good at this price.👍",4
4Very comfortable and quality is excellent,Very comfortable and quality is excellent,4
5This product is nice in this price👍👍👍👍,This product is nice in this price👍👍👍👍,5
4Best product chaddi,Best product chaddi,4
5Exlent,Exlent,5
5Very good product 👍👍👍👍,Very good product 👍👍👍👍,5
4Good product In this price 😃,Good product In this price 😃,4
5Good product.Quality and price awesome.Just go for it 🥳,Good product.Quality and price awesome.Just go for it 🥳,5
4Satisfy good product,Satisfy good product,4
3nice,nice,3
4Price thak acha quality Short's and design gud🤗,Price thak acha quality Short's and design gud🤗,4
3Fabric is of poor quality.,Fabric is of poor quality.,3
5Just ok,Just ok,5
1Very cheep quality don't buy,Very cheep quality don't buy,1
5Excelle,Excelle,5
5The best,The best,5
4Super 👌. Stiching is so nice.. Quality was nice...,Super 👌. Stiching is so nice.. Quality was nice...,4
2Material not Good,Material not Good,2
"5Superb, value for money, clean item 5stars,thanks for flipkart","Superb, value for money, clean item 5stars,thanks for flipkart",5
1Bad 😞,Bad 😞,1
2Quality is not good as compared to previous products.,Quality is not good as compared to previous products.,2
"5Loved it. Got four size large and was super comfy! If you want an oversized shorts, just go for it","Loved it. Got four size large and was super comfy! If you want an oversized shorts, just go for it",5
5Awesome 👍👍,Awesome 👍👍,5
5Quality product,Quality product,5
"5Nice size ,good product,feel the freedom","Nice size ,good product,feel the freedom",5
5Really worth for i am buying this shorts for 3rd time,Really worth for i am buying this shorts for 3rd time,5
4Superb product,Superb product,4
"5Very nice product cloth material is very good and comfortable. Colour is also very nice
I am very happy with this product ☺️","Very nice product cloth material is very good and comfortable. Colour is also very nice
I am very happy with this product ☺️",5
"4For the price, seem decent. Dark blue already showing defects in fabric. For the price, the look and feel is just fine.","For the price, seem decent. Dark blue already showing defects in fabric. For the price, the look and feel is just fine.",4
4Daily use good,Daily use good,4
1Poor Quality pants... 😞😡,Poor Quality pants... 😞😡,1
5Good quality and comfortable.,Good quality and comfortable.,5
5Received perfect size,Received perfect size,5
4These are very good quality pants...,These are very good quality pants...,4
5Best 👌,Best 👌,5
"4I love these shorts , but short is thin, if some more quality increases.. then this is the best product","I love these shorts , but short is thin, if some more quality increases.. then this is the best product",4
"4Value for money product got 3 for 429 only.
Size is as given bt fitting could me better if u prefer a little loose and below knee u can go one size bigger. (My waist is 36 bought xxl)
Material is perfect for summer
Comes with decent quality zip on both side pockets
Pocket size is perfect to fit ur phone
Stitching is decent as per the price not the best though.","Value for money product got 3 for 429 only.
Size is as given bt fitting could me better if u prefer a little loose and below knee u can go one size bigger. (My waist is 36 bought xxl)
Material is perfect for summer
Comes with decent quality zip on both side pockets
Pocket size is perfect to fit ur phone
Stitching is decent as per the price not the best though.",4
1Cloth quality very poor ..,Cloth quality very poor ..,1
5Best for middle class family,Best for middle class family,5
5Good product very good quality,Good product very good quality,5
5Very good 😊👍👍,Very good 😊👍👍,5
5Really good product at this price..can buy blindly,Really good product at this price..can buy blindly,5
4Good clothe... Very comfortable....,Good clothe... Very comfortable....,4
"1Very badd,","Very badd,",1
2Felt quality has declined than to one previously I purchased.,Felt quality has declined than to one previously I purchased.,2
3worthless,worthless,3
"2Don't buy 😡😡 this product
Ok👍","Don't buy 😡😡 this product
Ok👍",2
5Good quality product I am comfortable because of this product,Good quality product I am comfortable because of this product,5
1Quality is very bad,Quality is very bad,1
4Nice and comfortable. 2 poxket also here with same cloth used for pocket. Zip on pocket also have good quality.,Nice and comfortable. 2 poxket also here with same cloth used for pocket. Zip on pocket also have good quality.,4
5Superb look,Superb look,5
4Very good Track pent👌🏻,Very good Track pent👌🏻,4
5Worth and quality super,Worth and quality super,5
4I like it❤. Quality is also good.,I like it❤. Quality is also good.,4
"5Nice 👍 product ,Good quality and comfortable.","Nice 👍 product ,Good quality and comfortable.",5
5Purchased for my son. He liked it very much. Good quality. Good packaging. Go for it.,Purchased for my son. He liked it very much. Good quality. Good packaging. Go for it.,5
5Nice product. Quality is good. Fabric is good.,Nice product. Quality is good. Fabric is good.,5
3Perfect 👌,Perfect 👌,3
4Good quality material,Good quality material,4
5Best in quality buy without think twice soft cloth and stretchable.... Good one I'll be looking for different color options if available ❤️,Best in quality buy without think twice soft cloth and stretchable.... Good one I'll be looking for different color options if available ❤️,5
5Nice track pants. I like the fitting and fabric. Good for winter and summer both. Must go for it.,Nice track pants. I like the fitting and fabric. Good for winter and summer both. Must go for it.,5
5Awesome quality,Awesome quality,5
4Good productivity,Good productivity,4
5Very very nice product 👍😊😊😊,Very very nice product 👍😊😊😊,5
4Great product like it👍,Great product like it👍,4
5It's good quality and nice look,It's good quality and nice look,5
4Good but not excellent,Good but not excellent,4
5Smoth and very long lastic,Smoth and very long lastic,5
"5Best Product in This Price. 5star Products
Please Order Now And Try This Comfortable Track pants in summer seasons ❤.","Best Product in This Price. 5star Products
Please Order Now And Try This Comfortable Track pants in summer seasons ❤.",5
"5Quality is good
Value for money","Quality is good
Value for money",5
4Awesome ??,Awesome ??,4
